global_pair_index,index_G,index_H,g6_G,g6_H,n_G,n_H,gamma_t_cartesian,gamma_direct,slack,cartesian_set,direct_set,cartesian_nodes_searched,direct_nodes_searched,direct_components
135,0,135,A_,E]zg,2,6,4,4,0,0;6;2;1,6;0;1;2,18,18,1
136,0,136,A_,E]zo,2,6,4,4,0,0;8;6;2,6;2;0;1,18,18,1
137,0,137,A_,E]zw,2,6,2,2,0,5;11,11;5,3,3,1
138,0,138,A_,E]~o,2,6,4,4,0,2;6;0;1,0;8;2;3,21,21,1
139,0,139,A_,E]~w,2,6,2,2,0,4;10,10;4,3,3,1
140,0,140,A_,E^~w,2,6,2,2,0,2;8,8;2,3,3,1
141,0,141,A_,E~~w,2,6,2,2,0,1;7,0;6,3,3,1
142,1,1,BW,BW,3,3,3,3,0,8;2;5,8;2;5,4,6,2
143,1,2,BW,Bw,3,3,3,3,0,6;7;8,7;6;8,4,8,1
144,1,3,BW,CF,3,4,3,3,0,11;3;7,11;3;7,4,6,2
145,1,4,BW,CU,3,4,4,4,0,11;8;9;10,11;8;3;0,6,5,2
146,1,5,BW,CV,3,4,3,3,0,11;3;7,11;3;8,4,6,1
147,1,6,BW,C],3,4,4,4,0,8;9;10;11,10;11;8;9,6,12,2
148,1,7,BW,C^,3,4,3,3,0,2;10;6,10;2;11,4,8,1
149,1,8,BW,C~,3,4,3,3,0,8;0;4,9;1;8,4,9,1
150,1,9,BW,D?{,3,5,3,3,0,14;4;9,14;4;9,4,6,2
151,1,10,BW,DCw,3,5,5,4,1,14;10;13;4;9,14;10;4;0,7,6,2
152,1,11,BW,DC{,3,5,3,3,0,14;4;9,14;4;9,4,6,1
153,1,12,BW,DEk,3,5,5,4,1,13;14;3;12;8,13;14;3;4,7,6,1
154,1,13,BW,DEw,3,5,5,4,1,14;13;4;9;10,14;13;10;4,9,7,2
155,1,14,BW,DE{,3,5,3,3,0,14;4;9,14;4;13,4,6,1
156,1,15,BW,DFw,3,5,4,4,0,3;9;13;14,13;14;10;3,6,11,2
157,1,16,BW,DF{,3,5,3,3,0,3;13;8,13;3;14,4,8,1
158,1,17,BW,DQo,3,5,5,5,0,10;11;0;13;5,10;11;14;0;1,7,14,2
159,1,18,BW,DQw,3,5,5,4,1,11;1;6;10;12,11;14;1;4,14,7,1
160,1,19,BW,DQ{,3,5,3,3,0,4;14;9,14;4;9,4,8,1
161,1,20,BW,DTw,3,5,5,4,1,14;4;9;13;10,14;0;10;4,10,7,1
162,1,21,BW,DT{,3,5,3,3,0,14;4;9,14;4;10,4,6,1
163,1,22,BW,DUW,3,5,5,5,0,10;11;12;13;14,12;14;13;10;11,10,40,1
164,1,23,BW,DUw,3,5,5,4,1,4;9;10;13;14,14;0;10;11,16,14,1
165,1,24,BW,DU{,3,5,3,3,0,4;14;9,14;4;10,4,8,1
166,1,25,BW,DV{,3,5,3,3,0,3;13;8,13;3;14,4,8,1
167,1,26,BW,D]w,3,5,4,4,0,0;6;10;11,10;2;12;13,9,14,1
168,1,27,BW,D]{,3,5,3,3,0,4;14;9,14;4;10,4,9,1
169,1,28,BW,D^{,3,5,3,3,0,2;12;7,12;2;13,4,9,1
170,1,29,BW,D~{,3,5,3,3,0,10;0;5,11;1;10,4,10,1
171,1,30,BW,E?Bw,3,6,3,3,0,17;5;11,17;5;11,4,6,2
172,1,31,BW,E?bo,3,6,5,4,1,17;12;16;5;11,17;12;5;0,7,7,2
173,1,32,BW,E?bw,3,6,3,3,0,17;5;11,17;5;11,4,6,1
174,1,33,BW,E?ow,3,6,6,4,2,16;17;4;10;5;11,16;17;4;5,8,6,2
175,1,34,BW,E?qo,3,6,5,5,0,16;17;13;5;11,16;17;12;4;5,8,14,2
176,1,35,BW,E?qw,3,6,5,4,1,16;17;13;5;11,16;17;4;5,8,7,1
177,1,36,BW,E?ro,3,6,5,4,1,17;16;5;11;12,17;16;12;5,8,7,2
178,1,37,BW,E?rw,3,6,3,3,0,17;5;11,17;5;16,4,6,1
179,1,38,BW,E?zO,3,6,5,5,0,16;17;4;15;10,16;17;4;15;12,7,14,2
180,1,39,BW,E?zW,3,6,5,4,1,16;17;4;15;10,16;17;4;5,7,7,1
181,1,40,BW,E?zo,3,6,5,4,1,17;16;5;11;4,17;16;5;12,10,7,2
182,1,41,BW,E?zw,3,6,3,3,0,17;5;11,17;5;16,4,6,1
183,1,42,BW,E?~o,3,6,4,4,0,4;11;16;17,16;17;4;12,9,15,2
184,1,43,BW,E?~w,3,6,3,3,0,4;16;10,16;4;17,4,8,1
185,1,44,BW,ECR_,3,6,6,6,0,17;12;13;14;15;16,17;12;13;5;0;1,8,7,2
186,1,45,BW,ECRo,3,6,5,4,1,17;13;16;5;11,17;13;5;1,7,7,1
187,1,46,BW,ECRw,3,6,3,3,0,17;5;11,17;5;11,4,6,1
188,1,47,BW,ECYW,3,6,5,4,1,16;4;10;12;15,16;17;4;5,7,7,1
189,1,48,BW,ECZ?,3,6,6,6,0,16;12;4;10;0;6,16;12;17;0;13;4,8,19,2
190,1,49,BW,ECZG,3,6,5,5,0,16;12;4;15;10,16;12;17;4;0,7,14,1
191,1,50,BW,ECZO,3,6,5,5,0,16;14;5;11;17,16;17;13;4;5,9,17,1
192,1,51,BW,ECZW,3,6,5,4,1,16;4;10;12;15,16;17;4;5,7,7,1
193,1,52,BW,ECZ_,3,6,6,6,0,12;0;6;16;13;14,12;17;0;16;13;14,9,30,2
194,1,53,BW,ECZg,3,6,5,4,1,12;15;4;16;10,12;17;0;5,9,11,1
195,1,54,BW,ECZo,3,6,5,4,1,5;10;11;17;16,17;16;13;5,13,7,1
196,1,55,BW,ECZw,3,6,3,3,0,5;17;11,17;5;16,4,8,1
197,1,56,BW,ECfo,3,6,5,4,1,17;5;11;16;12,17;0;12;5,8,7,1
198,1,57,BW,ECfw,3,6,3,3,0,17;5;11,17;5;12,4,6,1
199,1,58,BW,ECpo,3,6,5,5,0,17;5;11;12;16,17;15;5;12;16,6,15,1
200,1,59,BW,ECqg,3,6,6,6,0,16;17;12;13;14;15,16;17;12;4;5;0,8,7,1
201,1,60,BW,ECr_,3,6,6,4,2,17;12;5;11;0;6,17;12;5;0,8,6,2
202,1,61,BW,ECrg,3,6,5,4,1,17;12;5;15;11,17;12;5;0,7,7,1
203,1,62,BW,ECro,3,6,5,4,1,17;5;11;16;12,17;0;12;5,11,7,1
204,1,63,BW,ECrw,3,6,3,3,0,17;5;11,17;5;12,4,6,1
205,1,64,BW,ECuw,3,6,5,4,1,16;17;4;14;10,16;17;4;5,7,7,1
206,1,65,BW,ECvo,3,6,5,4,1,17;5;11;16;12,17;0;5;12,11,7,1
207,1,66,BW,ECvw,3,6,3,3,0,17;5;11,17;5;16,4,6,1
208,1,67,BW,ECxo,3,6,5,5,0,4;15;10;17;16,16;12;17;5;13,10,39,1
209,1,68,BW,ECxw,3,6,5,4,1,4;10;17;15;16,16;5;17;4,17,15,1
210,1,69,BW,ECzW,3,6,5,4,1,16;4;10;15;17,16;5;17;4,8,7,1
211,1,70,BW,ECzg,3,6,5,4,1,12;15;4;16;10,12;4;16;0,8,7,1
212,1,71,BW,ECzo,3,6,5,4,1,5;11;12;16;17,17;0;12;5,14,14,1
213,1,72,BW,ECzw,3,6,3,3,0,5;17;11,17;5;16,4,8,1
214,1,73,BW,EC~o,3,6,4,4,0,4;11;16;17,16;0;12;4,9,17,1
215,1,74,BW,EC~w,3,6,3,3,0,4;16;10,16;4;17,4,8,1
