graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
Qs^~vr~~v}^~~}~}^~~~}~~r~~?,18,134,16,14,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,4,245760,14,7,245760,0-1;2-4;3-5;6-8;7-11;9-12;10-13,14,5
Qs^~vr~~v}^~~}~}^~F~o~}B~w?,18,122,16,11,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,7,260096,11,6,129024,0-1;2-4;3-5;6-8;7-9;10-17,14,4
Qs^~vr~~v}^w~~~~^~f~w~~B~{?,18,125,16,12,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,6,258048,12,6,258048,0-1;2-4;3-8;5-9;6-10;7-11,14,4
Qs^~vr~~v}^w~o~~~~v~{~~b~}?,18,126,16,13,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,5,7936,13,7,3840,0-1;2-4;3-13;5-14;6-15;7-16;12-17,14,5
Qs^~vr~~v}^w~o~o^wF}?~oB~??,18,101,16,8,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,10,261888,8,4,261888,0-1;2-5;3-6;4-7,14,2
Qs^~vrw~~~^{~w~~~~v~{~~b~}?,18,127,16,13,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,5,253952,13,7,480,0-1;2-4;3-13;9-14;10-15;11-16;12-17,14,5
Qs^~vrw~~~^{~w~w^{F~?~wB~_?,18,107,16,9,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,9,261632,9,5,130560,0-1;2-5;3-6;4-7;8-17,14,3
Qs^~vrw}F~~}~{~{^}F~_~{B~o?,18,111,16,10,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,8,261120,10,5,261120,0-5;1-6;2-7;3-8;4-9,14,3
Qs^~vrw}Fo^~~}~}^~F~o~}B~w?,18,113,16,11,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,7,260096,11,6,129024,0-5;1-6;2-7;3-8;4-9;10-17,14,4
Qs^~vrw}Fo^?}?}?^?Fo?}?Bw??,18,71,16,5,0,0,2,3,2,3,2,17,2,3,3,1,16,2,3,0-1,13,262112,5,3,131040,0-1;2-4;3-17,14,1
Qs`~~z{~F~~}~{~{^~~~}~~r~~?,18,128,16,14,0,0,2,3,2,3,2,33,2,3,3,1,32,2,3,0-1,4,30,14,7,30,0-6;5-7;8-10;9-14;11-15;12-16;13-17,14,5
Qs`~~z{~F~~}~{~{^}F~_~{B~o?,18,112,16,10,0,0,2,3,2,3,2,33,2,3,3,1,32,2,3,0-1,8,261120,10,5,261120,0-1;2-6;3-7;4-8;5-9,14,3
Qs`~~z{~Fw^~~}~}^~F~o~}B~w?,18,115,16,11,0,0,2,3,2,3,2,33,2,3,3,1,32,2,3,0-1,7,260096,11,6,129024,0-1;2-6;3-7;4-8;5-9;10-17,14,4
Qs`~~z{~Fw^_~~~~^~f~w~~B~{?,18,116,16,12,0,0,2,3,2,3,2,33,2,3,3,1,32,2,3,0-1,6,4032,12,6,4032,0-12;1-13;2-14;3-15;4-16;5-17,14,4
Qs`~~z{~Fw^_~?~?^_Fw?~?B{??,18,80,16,6,0,0,2,3,2,3,2,33,2,3,3,1,32,2,3,0-1,12,262080,6,4,65472,0-1;2-5;3-16;4-17,14,2
QsaB~~}~f{^o~~~~^~f~w~~B~{?,18,117,16,12,0,0,2,3,2,3,2,65,2,3,3,1,64,2,3,0-1,6,258048,12,6,258048,0-1;2-7;3-8;4-9;5-10;6-11,14,4
QsaB~~}~f{^o~_~_^oF{?~_B}??,18,87,16,7,0,0,2,3,2,3,2,65,2,3,3,1,64,2,3,0-1,11,262016,7,5,32640,0-1;2-6;3-15;4-16;5-17,14,3
QsaCB~~~v}^w~o~o^wF}?~oB~??,18,92,16,8,0,0,2,3,2,3,2,129,2,3,3,1,128,2,3,0-1,10,261888,8,6,16128,0-1;2-7;3-14;4-15;5-16;6-17,14,4
QsaCC@~~~~^{~w~w^{F~?~wB~_?,18,95,16,9,0,0,2,3,2,3,2,257,2,3,3,1,256,2,3,0-1,9,261632,9,7,7680,0-1;2-8;3-13;4-14;5-15;6-16;7-17,14,5
QsaCCA?^~~~}~{~{^}F~_~{B~o?,18,96,16,10,0,0,2,3,2,3,2,513,2,3,3,1,512,2,3,0-1,8,510,10,8,6,0-10;3-11;4-12;5-13;6-14;7-15;8-16;9-17,14,6
QsaCCA?_C?O?_?_?O?C??_?@~~w,18,32,16,2,0,0,2,3,2,3,2,131073,2,3,3,1,131072,2,3,0-1,16,131070,2,2,32766,0-15;16-17,14,0
Qs\v~z{~~~^{~~~~^~f~~~~z~~_,18,135,15,15,0,1,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,3,14,15,8,6,0-3;4-6;5-7;8-9;10-12;11-15;13-16;14-17,14,5
Qs\v~z{~~~^{~~~~^~f~w~~B~{?,18,126,15,12,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,6,258048,12,6,258048,0-1;2-4;3-5;6-9;7-10;8-11,14,3
Qs\v~z{~~~^{~w~~~~v~{~~b~}?,18,128,15,13,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,5,253952,13,7,7680,0-1;2-4;3-13;5-14;6-15;7-16;8-17,14,4
Qs\v~z{~~~^{~w~w^{F~?~wB~_?,18,108,15,9,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,9,261632,9,5,130560,0-1;2-4;3-6;5-7;8-17,14,2
Qs\v~z{~F~~}~{~{^~~~}~~r~~?,18,129,15,14,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,4,960,14,7,960,0-1;2-4;3-5;10-14;11-15;12-16;13-17,14,4
Qs\v~z{~F~~}~{~{^}F~_~{B~o?,18,113,15,10,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,8,261120,10,5,261120,0-1;2-6;3-7;4-8;5-9,14,2
Qs\v~z{~Fw^~~}~}^~F~o~}B~w?,18,116,15,11,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,7,260096,11,6,129024,0-1;2-6;3-7;4-8;5-9;10-17,14,3
Qs\v~z{~Fw^_~~~~^~f~w~~B~{?,18,117,15,12,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,6,4032,12,6,4032,0-12;1-13;2-14;3-15;4-16;5-17,14,3
Qs\v~z{~Fw^_~?~?^_Fw?~?B{??,18,81,15,6,0,0,2,3,2,3,3,14,2,3,4,1,48,2,3,0-1,12,262080,6,3,262080,0-1;2-4;3-5,14,0
Qs`zv~}~f{^~~}~}^~F~o~}B~w?,18,117,15,11,0,0,2,3,2,3,3,97,2,3,4,1,96,2,3,0-1,7,260096,11,6,129024,0-1;2-5;3-7;4-8;6-9;10-17,14,3
Qs`zv~}~f{^o~~~~^~f~w~~B~{?,18,119,15,12,0,0,2,3,2,3,3,97,2,3,4,1,96,2,3,0-1,6,258048,12,6,258048,0-1;2-7;3-8;4-9;5-10;6-11,14,3
Qs`zv~}~f{^o~_~_^oF{?~_B}??,18,89,15,7,0,0,2,3,2,3,3,97,2,3,4,1,96,2,3,0-1,11,262016,7,4,130944,0-1;2-5;3-6;4-17,14,1
QsaBzz~~v}^w~o~~~~v~{~~b~}?,18,120,15,13,0,0,2,3,2,3,3,193,2,3,4,1,192,2,3,0-1,5,62,13,7,30,0-5;6-8;7-13;9-14;10-15;11-16;12-17,14,4
QsaBzz~~v}^w~o~o^wF}?~oB~??,18,95,15,8,0,0,2,3,2,3,3,193,2,3,4,1,192,2,3,0-1,10,261888,8,5,65280,0-1;2-6;3-7;4-16;5-17,14,2
QsaCB|}~~~^{~w~w^{F~?~wB~_?,18,99,15,9,0,0,2,3,2,3,3,385,2,3,4,1,384,2,3,0-1,9,261632,9,6,32256,0-1;2-7;3-8;4-15;5-16;6-17,14,3
QsaCC@~^v~~}~{~{^}F~_~{B~o?,18,101,15,10,0,0,2,3,2,3,3,769,2,3,4,1,768,2,3,0-1,8,261120,10,7,15360,0-1;2-8;3-9;4-14;5-15;6-16;7-17,14,4
QsaCCA?_C?O?_?_?O?C??^~|~~o,18,45,15,3,0,0,2,3,2,3,3,196609,2,3,4,1,196608,2,3,0-1,15,65534,3,3,8190,0-13;14-16;15-17,14,0
Qs`zrr~~v}^w~~~~^~f~w~~B~{?,18,120,14,12,0,0,2,3,2,3,4,30,2,3,4,3,0,2,3,0-1,6,258048,12,6,258048,0-1;2-5;3-8;4-9;6-10;7-11,14,2
Qs`zrr~~v}^w~o~~~~v~{~~b~}?,18,121,14,13,0,0,2,3,2,3,4,30,2,3,4,3,0,2,3,0-1,5,7936,13,7,30,0-8;5-9;6-13;7-14;10-15;11-16;12-17,14,3
Qs`zrr~~v}^w~o~o^wF}?~oB~??,18,96,14,8,0,0,2,3,2,3,4,30,2,3,4,3,0,2,3,0-1,10,261888,8,4,261888,0-1;2-5;3-6;4-7,14,0
QsaBzx{~~~^{~w~w^{F~?~wB~_?,18,101,14,9,0,0,2,3,2,3,4,449,2,3,4,3,0,2,3,0-1,9,261632,9,5,130560,0-1;2-6;3-7;4-8;5-17,14,1
QsaCB|}^f~~}~{~{^}F~_~{B~o?,18,104,14,10,0,0,2,3,2,3,4,897,2,3,4,3,0,2,3,0-1,8,261120,10,6,64512,0-1;2-7;3-8;4-9;5-16;6-17,14,2
QsaCC@~^r}^~~}~}^~F~o~}B~w?,18,105,14,11,0,0,2,3,2,3,4,1793,2,3,4,3,0,2,3,0-1,7,254,11,7,30,0-11;5-12;6-13;7-14;8-15;9-16;10-17,14,3
QsaCCA?_C?O?_?_?O?B~~^~x~~_,18,56,14,4,0,0,2,3,2,3,4,229377,2,3,4,3,0,2,3,0-1,14,32766,4,4,2046,0-11;12-15;13-16;14-17,14,0
QsaBzx{^F~~}~{~{^}F~_~{B~o?,18,105,13,10,0,0,2,3,2,3,5,62,2,3,4,3,0,2,3,0-1,8,261120,10,5,261120,0-1;2-6;3-7;4-8;5-9,14,0
QsaCB|}^b{^~~}~}^~F~o~}B~w?,18,107,13,11,0,0,2,3,2,3,5,1921,2,3,4,3,0,2,3,0-1,7,260096,11,6,129024,0-1;2-7;3-8;4-9;5-10;6-17,14,1
QsaCCA?_C?O?_?_?N~z~}^~p~~?,18,65,13,5,0,0,2,3,2,3,5,245761,2,3,4,3,0,2,3,0-1,13,16382,5,5,510,0-9;10-14;11-15;12-16;13-17,14,0
QsaCB|}^b{No~~~~^~f~w~~B~{?,18,108,12,12,0,1,2,3,2,3,6,126,2,3,4,3,0,2,3,0-1,6,126,12,6,126,0-12;7-13;8-14;9-15;10-16;11-17,14,0
QsaCCA?_C?O?_?^~n~r~{^~`~}?,18,72,12,6,0,0,2,3,2,3,6,253953,2,3,4,3,0,2,3,0-1,12,8190,6,6,126,0-7;8-13;9-14;10-15;11-16;12-17,14,0
QsaCCA?_C?O?^~^~N~b~w^~@~{?,18,77,11,7,0,0,2,3,2,3,7,258049,2,3,4,3,0,2,3,0-1,11,4094,7,7,30,0-5;6-12;7-13;8-14;9-15;10-16;11-17,14,0
QsaCCA?_C?N~^}^}N~B~o^}@~w?,18,80,10,8,0,0,2,3,2,3,8,260097,2,3,4,3,0,2,3,0-1,10,2046,8,8,6,0-3;4-11;5-12;6-13;7-14;8-15;9-16;10-17,14,0
QsaCCA?_B~n}^{^{N}B~_^{@~o?,18,81,9,9,0,1,2,3,2,3,9,1022,2,3,4,3,0,2,3,0-1,9,1022,9,9,0,0-1;2-10;3-11;4-12;5-13;6-14;7-15;8-16;9-17,14,0
Erow,6,9,3,3,0,1,2,5,2,5,2,6,2,5,4,1,40,2,5,0-2,2,6,4,2,6,0-4;3-5,2,0
GrO[PK,8,12,3,3,0,1,2,20,4,15,2,20,4,15,4,20,0,4,15,0-1;2-3,4,102,4,3,20,0-1;3-5;6-7,4,1
IrOWOMAGW,10,15,3,3,0,1,3,76,4,53,4,102,5,55,6,20,384,4,53,0-2;4-5,4,102,6,4,6,0-8;3-5;4-6;7-9,4,0
IpT@GSS_W,10,15,3,3,0,1,3,49,4,51,3,49,4,51,6,49,0,6,63,0-2;1-5;3-4,4,169,6,3,169,1-4;2-6;8-9,4,0
KrOWOKA?[@CB,12,18,3,3,0,1,4,197,4,197,4,294,6,215,7,276,128,4,197,0-2;6-7,6,1638,6,4,390,0-10;3-5;4-6;9-11,4,0
KpT?GSo?WKOB,12,18,3,3,0,1,4,165,4,197,4,169,6,183,7,73,512,4,197,0-2;6-7,4,169,8,4,169,1-4;2-8;6-10;9-11,4,0
MrOWOKA?W@?B_AG@_,14,21,3,3,0,1,4,1158,5,1324,4,1158,7,855,8,289,10240,6,783,0-1;2-3;8-9,6,1638,8,5,1158,0-12;3-5;4-6;8-9;11-13,6,1
MpT?GSO?XC?B@G_@_,14,21,3,3,0,1,5,551,6,679,5,1193,6,1357,8,321,2064,6,679,0-2;1-5;7-9,5,1193,9,5,326,0-13;3-4;5-12;7-9;10-11,4,0
OrOWOKA?W@?B?A?@o?P?B,16,24,3,3,0,1,4,4628,6,3125,4,4628,8,3415,8,4628,0,6,3125,0-2;4-5;10-11,8,26214,8,6,390,0-14;3-5;4-6;9-11;10-12;13-15,8,2
OpT?GSO?WC?BGG?@_`C?B,16,24,3,3,0,1,5,2353,6,2599,5,2353,8,2743,10,321,26640,6,2599,0-2;1-5;9-11,6,5289,10,6,169,1-4;2-12;6-10;8-9;11-13;14-15,6,1
OpP?GoGGGEA_?E?g??s?B,16,24,3,3,0,1,4,3329,8,2671,4,3329,8,2671,8,3329,0,8,2671,0-1;2-9;3-11;5-6,8,26169,8,6,329,1-4;2-9;5-11;7-10;12-14;13-15,8,2
QrOWOKA?W@?B?A?@_?O?B_?G_?W,18,27,3,3,0,1,5,18508,6,12485,6,18534,9,13655,10,4628,98304,6,12485,0-2;6-7;12-13,8,26214,10,6,24966,0-16;3-5;4-6;9-11;10-12;15-17,8,0
QpT?GSO?WC?B?G?@c@??B@?a??W,18,27,3,3,0,1,6,9385,6,12485,6,9385,8,21837,11,5137,33312,6,12485,0-2;6-7;12-13,7,22697,11,6,5684,0-1;3-8;6-7;11-13;14-15;16-17,6,0
QpP?GoG?GEE??E@_??o@_??Y??W,18,27,3,3,0,1,5,10881,8,11083,5,10881,9,13111,10,8833,18432,8,11083,0-1;3-11;6-13;8-9,7,17977,11,7,89,1-5;2-11;7-10;8-9;12-14;13-16;15-17,8,2
Nsee?[rTRQERB`TIlEO,15,45,6,6,0,1,3,22,3,25,3,22,3,25,6,22,0,4,27,0-1;3-4,5,2354,10,5,2354,0-2;3-9;6-7;10-13;12-14,9,2
EkSg,6,7,3,2,0,0,2,12,2,18,2,12,2,18,4,2,40,2,18,1-4,3,21,3,2,12,0-1;4-5,2,0
Gh`HGc,8,10,3,2,0,0,3,28,4,15,3,41,4,15,5,20,128,4,15,0-1;2-3,4,90,4,3,9,1-2;4-5;6-7,2,0
IhEAHCPAG,10,13,3,2,0,0,3,145,4,90,3,145,5,31,6,72,513,4,90,1-6;3-4,5,341,5,4,9,1-2;4-9;5-6;7-8,4,1
KhCKAC`CGO_`,12,16,3,2,0,0,4,305,4,1170,4,610,6,63,7,273,2048,4,1170,1-7;4-10,6,1386,6,4,612,0-1;3-4;7-8;10-11,4,0
MhCGK@@GG_`@@@?__,14,19,3,2,0,0,4,2244,6,378,4,2244,7,127,8,1058,8320,6,378,1-8;3-4;5-6,7,5461,7,5,585,1-2;4-5;7-8;10-11;12-13,6,1
OhCGGE?OH?a@A@@?_OGA@,16,22,3,2,0,0,5,4548,6,4818,5,8841,8,255,9,4420,32768,6,4818,1-9;4-12;6-7,8,21930,8,6,404,0-1;3-11;5-6;9-10;12-13;14-15,6,1
QhCGGC@_A?c@C@A?__GC@?OC?_G,18,25,3,2,0,0,5,35089,6,74898,5,35089,9,511,10,17544,131073,6,74898,1-10;4-13;7-16,9,87381,9,6,37668,0-1;3-4;6-7;10-11;13-14;16-17,8,1
HkSg_SD,9,12,4,2,0,0,3,56,3,56,3,97,3,56,6,12,384,4,57,0-3;4-5,5,341,4,3,97,1-2;3-4;7-8,3,0
Kh`HGcG@GC_H,12,17,4,2,0,0,4,240,4,240,4,645,4,240,7,386,1024,4,240,4-5;6-7,6,1445,6,4,329,1-2;4-5;7-11;9-10,4,0
NhEAHCPAGG?P?P?G_AG,15,22,4,2,0,0,4,4644,5,992,4,4644,5,992,8,4644,0,6,993,0-5;6-7;8-9,8,21845,7,5,9361,1-2;3-8;5-6;9-14;11-12,7,1
QhCKAC`CGO_`?_?O_CG?`?AC?CG,18,27,4,2,0,0,5,19524,6,4032,6,39049,6,4032,10,17476,131104,6,4032,6-7;8-9;10-11,9,88725,9,6,39177,1-2;4-5;6-7;9-10;13-14;16-17,8,0
Oh`HGcG@GC_H?G?C_@G?H,16,24,4,2,0,0,4,10260,6,3846,4,10260,7,3878,8,10260,0,6,3846,1-2;8-9;10-11,8,23130,8,6,329,1-2;4-5;7-11;9-10;12-13;14-15,8,2
H{S{aSf,9,18,4,4,0,1,3,7,3,7,3,84,3,7,5,10,256,4,15,0-3;1-2,3,84,6,3,84,0-1;3-5;7-8,3,0
Kl`HGuGPHCaL,12,24,4,4,0,1,3,276,4,15,4,90,4,15,6,20,2560,4,15,0-1;2-3,4,90,8,4,90,0-8;2-10;5-9;7-11,6,0
NheAHCPBKGGPGPCG`BG,15,30,4,4,0,1,4,1068,4,1068,5,1364,5,31,8,44,18432,4,1068,2-3;5-10,5,1364,10,5,1364,0-5;1-11;3-13;7-12;9-14,7,0
QhEKAC`CGO_p__OOcCG_`AACCEG,18,36,4,4,0,1,5,4188,5,4188,6,1386,6,63,9,4368,34818,6,63,0-1;2-3;4-5,6,1386,12,6,1386,0-12;2-14;4-16;7-13;9-15;11-17,8,0
Ol`HGsG@GC_L_GOCc@G_L,16,32,4,4,0,1,4,780,4,780,4,1290,6,797,8,780,0,4,780,2-3;8-9,8,23130,8,6,1290,0-4;2-6;5-9;7-11;12-13;14-15,8,2
GAnRDC,8,12,3,3,0,1,2,36,3,28,2,36,3,28,4,36,0,4,27,0-4;1-3,3,7,5,3,3,2-4;3-5;6-7,4,1
GEsbLG,8,12,3,3,0,1,2,12,4,45,2,12,4,75,4,12,0,4,45,0-3;2-5,3,7,5,3,3,2-6;3-4;5-7,4,1
GSNJAc,8,12,3,3,0,1,3,7,3,35,3,14,3,35,5,3,16,4,39,0-2;1-5,3,14,5,3,3,2-6;3-7;4-5,2,0
GWtPcK,8,12,3,3,0,1,3,11,3,25,3,11,3,25,5,9,2,4,23,0-2;1-4,3,11,5,3,3,2-6;3-4;5-7,2,0
IgEgqCPgG,10,15,3,3,0,1,3,11,4,27,3,274,4,195,6,9,132,4,27,0-1;3-4,4,141,6,4,5,1-7;3-6;4-5;8-9,4,1
IKC`IrG`_,10,15,3,3,0,1,3,13,4,15,3,21,4,263,6,5,144,4,15,0-3;1-2,4,51,6,4,3,2-5;3-7;4-8;6-9,4,1
IeGWAUaH_,10,15,3,3,0,1,3,76,4,150,3,76,4,150,6,6,96,4,150,1-7;2-4,4,101,6,4,5,1-3;4-7;5-9;6-8,4,1
ICWNBIODG,10,15,3,3,0,1,3,26,4,27,3,104,5,91,6,10,36,4,27,0-3;1-4,4,39,6,4,10,0-6;2-4;5-7;8-9,4,1
IcGPWpDw?,10,15,3,3,0,1,3,14,4,83,3,14,4,105,6,12,258,4,83,0-1;4-6,4,165,6,4,5,1-9;3-5;4-6;7-8,4,1
IIaHaOq`O,10,15,3,3,0,1,3,7,4,23,3,67,4,150,6,3,320,4,23,0-4;1-2,4,141,6,3,540,0-5;1-7;6-8,4,0
IH`[CpAGg,10,15,3,3,0,1,3,7,4,23,3,84,4,306,6,3,520,4,23,0-4;1-2,4,90,6,4,3,2-9;3-5;4-7;6-8,4,1
I_pT@KoEG,10,15,3,3,0,1,3,13,4,105,3,13,4,170,6,6,520,4,105,0-6;3-5,4,368,6,3,368,0-1;2-7;3-9,4,0
IKo_[dOHG,10,15,3,3,0,1,3,28,4,23,3,28,4,23,6,5,320,4,23,0-4;1-2,4,325,6,3,325,1-4;3-7;5-9,4,0
I[PCHOTE_,10,15,3,3,0,1,3,49,4,15,3,49,4,15,6,10,192,4,15,0-3;1-2,4,60,6,3,202,0-2;4-9;5-8,4,0
IKPH`EKcO,10,15,3,3,0,1,3,7,4,15,3,21,5,79,6,3,192,4,15,0-3;1-2,4,394,6,3,394,0-9;2-6;4-5,4,0
Ii_HgOp`O,10,15,3,3,0,1,3,162,4,23,3,162,4,23,6,20,520,4,23,0-4;1-2,5,173,5,3,540,0-1;5-6;7-8,4,0
KBGCHV?D?WwC,12,18,3,3,0,1,3,292,5,93,3,292,6,221,6,292,0,6,95,0-6;1-3;2-4,4,39,8,4,39,3-9;4-10;6-7;8-11,6,1
KAh?cEoP_WCH,12,18,3,3,0,1,4,45,4,596,4,45,5,721,7,100,1,4,596,2-4;6-9,5,1095,7,4,71,3-8;4-10;5-9;7-11,4,0
KA@dP`K?S_pA,12,18,3,3,0,1,3,385,5,203,3,385,5,220,6,385,0,6,207,0-6;1-3;2-7,5,535,7,4,147,2-6;3-10;5-8;9-11,6,1
K@HEAoK_KGeO,12,18,3,3,0,1,3,518,5,87,3,518,5,211,6,518,0,6,111,0-6;1-5;2-3,5,632,7,4,120,0-10;1-7;2-11;8-9,6,1
KBar?D@ACO_M,12,18,3,3,0,1,3,152,5,211,3,152,6,245,6,152,0,6,219,0-4;1-3;6-7,5,647,7,4,519,3-5;4-10;6-7;8-11,6,1
KGIOR?T_a_pO,12,18,3,3,0,1,3,98,4,960,3,98,5,1610,6,98,0,4,960,6-9;7-8,5,1349,7,4,27,2-7;5-8;6-11;9-10,6,1
K@oadDCEC?_d,12,18,3,3,0,1,3,265,5,55,3,265,5,181,6,265,0,6,119,0-4;1-6;2-5,5,837,7,4,1108,0-7;1-8;3-9;5-11,6,1
KD?@IYAFAP[?,12,18,3,3,0,1,4,83,5,143,4,83,5,481,7,74,16,6,207,0-3;1-7;2-6,5,55,7,4,83,2-11;3-9;5-7;8-10,4,0
KoO`?wWc_HGP,12,18,3,3,0,1,4,46,4,340,4,106,5,244,7,14,1024,4,340,2-6;4-8,5,121,7,4,354,0-2;3-9;4-7;10-11,4,0
KPQIA?acOb@o,12,18,3,3,0,1,3,784,4,30,3,784,5,327,6,784,0,4,30,1-4;2-3,5,217,7,4,1105,1-7;2-8;3-9;5-11,6,1
KiGcG_@DGRPO,12,18,3,3,0,1,4,141,4,2584,4,177,5,143,7,88,256,4,2584,3-9;4-11,5,313,7,4,57,1-2;6-11;7-10;8-9,4,0
KoSOB_aBCD?q,12,18,3,3,0,1,3,290,4,788,3,290,5,428,6,290,0,4,788,2-8;4-9,5,241,7,4,116,0-1;3-7;8-10;9-11,6,1
K_MRCDH@?_cB,12,18,3,3,0,1,4,300,4,1098,4,593,5,61,7,292,1024,4,1098,1-6;3-10,5,654,7,4,526,0-5;4-8;6-7;10-11,4,0
KC`q?oaAQDSA,12,18,3,3,0,1,4,23,5,55,4,30,5,174,7,22,8,6,119,0-4;1-6;2-5,5,2330,7,4,92,0-11;1-5;7-9;8-10,4,0
KCO{@UOGI?gP,12,18,3,3,0,1,3,7,5,307,3,7,5,1924,6,7,0,6,63,0-3;1-4;2-5,5,675,7,4,354,0-3;2-9;4-7;10-11,6,1
KOEIa?`WGYQO,12,18,3,3,0,1,3,352,5,103,3,352,6,567,6,352,0,6,95,0-2;1-6;3-4,5,721,7,4,172,0-11;1-6;4-10;8-9,6,1
K@p@L?Y@S?i@,12,18,3,3,0,1,3,41,5,151,3,41,5,151,6,41,0,6,63,0-4;1-5;2-3,5,587,7,4,75,2-7;4-8;5-9;10-11,6,1
MOT@?o@cA@_SH@`_?,14,21,3,3,0,1,4,300,5,1110,4,300,6,1799,8,300,0,6,222,1-4;2-6;3-7,6,4427,8,5,75,2-12;4-7;5-13;8-11;9-10,6,1
M`C?WKDCB?`Cg@oC?,14,21,3,3,0,1,4,1073,5,3154,4,1073,6,10840,8,41,3072,6,123,0-1;3-4;5-6,6,13640,8,5,325,1-10;3-4;5-7;9-13;11-12,6,1
MgAH_IWKa??HA@?Q_,14,21,3,3,0,1,4,154,6,246,4,154,6,3335,8,138,4112,6,438,1-2;4-8;5-7,6,1181,8,5,210,0-5;2-9;3-8;10-11;12-13,6,1
M_CQ?G_`HQWCGoE_?,14,21,3,3,0,1,4,46,6,303,4,54,6,4777,8,13,192,6,303,0-1;2-8;3-5,6,2764,8,5,53,1-11;3-13;6-12;7-10;8-9,6,1
M`?oMOo?G?pOAaOE?,14,21,3,3,0,1,4,561,5,2881,4,561,7,2917,8,322,1040,6,948,2-5;4-7;8-9,6,14752,8,5,305,1-7;2-3;6-11;9-13;10-12,6,1
MQQ?GoA?[GECOcIA?,14,21,3,3,0,1,4,275,5,4615,4,550,6,2319,8,196,1026,6,237,0-2;3-7;5-6,6,1628,8,5,89,1-12;2-13;5-10;7-9;8-11,6,1
MG?SQoCKCCp?GHPG?,14,21,3,3,0,1,4,53,6,111,4,53,6,2744,8,37,144,6,111,0-6;1-2;3-5,6,4659,8,5,51,2-9;3-7;6-10;8-13;11-12,6,1
MG?kO`G_?bAIw?@c?,14,21,3,3,0,1,4,43,5,2834,4,43,7,1371,8,41,258,6,207,0-6;1-2;3-7,6,4968,8,5,43,2-12;4-6;7-11;8-10;9-13,6,1
M?D@cH_JAA@P_Gc?_,14,21,3,3,0,1,4,23,5,8298,4,23,6,693,8,19,68,6,235,0-7;1-5;3-6,6,1393,8,5,23,3-13;5-9;6-11;7-10;8-12,6,1
MQoc@cOAA?_P@K@H?,14,21,3,3,0,1,4,616,6,1071,4,616,6,1198,8,98,768,6,1198,1-10;2-5;3-7,7,2979,7,5,326,0-4;3-7;5-12;9-10;11-13,6,1
MKAG_DDW@?r?A_?Q_,14,21,3,3,0,1,4,149,6,231,4,149,6,8611,8,100,10240,6,231,0-5;1-2;6-7,6,5290,8,5,147,2-9;3-11;5-8;6-12;10-13,6,1
MI_C?Q_F?ICPPGCo?,14,21,3,3,0,1,4,1035,6,663,4,6168,6,917,8,1027,8704,6,1083,0-4;1-3;5-10,6,5212,8,5,92,0-8;1-12;5-9;7-13;10-11,6,1
MWS?_K?@KDM?BG_S?,14,21,3,3,0,1,4,396,5,8729,4,396,6,3304,8,41,258,6,573,0-2;3-4;5-9,6,2417,8,5,43,2-11;4-12;6-7;8-10;9-13,6,1
MCOc@AEAQ_c_CoQ@?,14,21,3,3,0,1,4,29,6,63,4,92,6,4820,8,7,4608,6,63,0-3;1-4;2-5,5,234,9,5,78,0-8;4-13;5-11;7-12;9-10,6,1
MGec??QOOID@CKOo?,14,21,3,3,0,1,4,141,6,571,4,141,6,4647,8,140,65,6,571,0-5;1-9;3-4,6,2282,8,5,141,1-9;4-11;5-10;6-13;8-12,6,1
MoA@OoOCGI?qWGQA?,14,21,3,3,0,1,4,106,6,175,4,106,6,221,8,74,1056,6,207,0-1;2-6;3-7,6,3102,8,5,106,0-2;4-7;8-12;9-11;10-13,6,1
MC?XgOgGGAg@oOo@?,14,21,3,3,0,1,4,142,5,4294,4,142,6,4530,8,142,0,6,2331,0-3;1-11;4-8,6,13340,8,5,30,0-12;5-6;7-10;8-9;11-13,6,1
