graph6,n,m,Delta,delta,tree,regular,gamma,gamma_set,gamma_t,gamma_t_set,independent_domination,independent_domination_set,connected_domination,connected_domination_set,roman_domination,roman_twos,roman_ones,paired_domination,paired_domination_set,paired_matching,alpha,alpha_set,tau,min_maximal_matching,mu_unmatched,mu_matching,ore_slack,tx_i_mu_slack
KCu{A?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1890,6,63,8,16,3012,6,63,0-3;1-4;2-5,6,1890,6,3,4032,0-3;1-4;2-5,0,-3
KCvsA?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1008,6,63,8,20,2752,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KCv{A?_C?O?_,12,15,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KCxsA?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,1008,6,63,8,24,2496,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KCx{A?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1953,6,63,8,16,3016,6,63,0-3;1-4;2-5,6,1953,6,3,4032,0-3;1-4;2-5,0,-3
KCz[A?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1764,6,63,8,16,3016,6,63,0-3;1-5;2-4,6,1764,6,3,4032,0-3;1-5;2-4,0,-3
KCzkA?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1512,6,63,8,16,3016,6,63,0-3;1-4;2-5,6,1512,6,3,4032,0-3;1-4;2-5,0,-3
KCzsA?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1008,6,63,8,17,2944,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KCz{A?_C?O?_,12,15,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KC~sA?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1008,6,63,8,16,3040,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KC~{A?_C?O?_,12,16,6,1,0,0,6,63,6,63,6,2016,6,63,7,16,3008,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KEh[A?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,1701,6,63,8,12,3264,6,63,0-3;1-5;2-4,6,1701,6,3,4032,0-3;1-5;2-4,0,-3
KEhcA?_C?O?_,12,12,3,1,0,0,6,63,6,63,6,504,6,63,8,12,3264,6,63,0-3;1-5;2-4,6,504,6,3,4032,0-3;1-5;2-4,0,-3
KEhsA?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,1008,6,63,8,12,3264,6,63,0-3;1-5;2-4,6,1008,6,3,4032,0-3;1-5;2-4,0,-3
KEh{A?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1953,6,63,8,12,3264,6,63,0-3;1-5;2-4,6,1953,6,3,4032,0-3;1-5;2-4,0,-3
KEi[A?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,1638,6,63,8,12,3264,6,63,0-5;1-3;2-4,6,1638,6,3,4032,0-5;1-3;2-4,0,-3
KEisA?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,882,6,63,8,12,3264,6,63,0-4;1-3;2-5,6,882,6,3,4032,0-4;1-3;2-5,0,-3
KEj[A?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1764,6,63,8,12,3264,6,63,0-3;1-5;2-4,6,1764,6,3,4032,0-3;1-5;2-4,0,-3
KEjcA?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,504,6,63,8,12,3264,6,63,0-3;1-5;2-4,6,504,6,3,4032,0-3;1-5;2-4,0,-3
KEjsA?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1008,6,63,8,12,3264,6,63,0-3;1-5;2-4,6,1008,6,3,4032,0-3;1-5;2-4,0,-3
KEj{A?_C?O?_,12,15,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-5;2-4,6,2016,6,3,4032,0-3;1-5;2-4,0,-3
KEl{A?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1953,6,63,8,8,3524,6,63,0-3;1-5;2-4,6,1953,6,3,4032,0-3;1-5;2-4,0,-3
KEnsA?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1008,6,63,8,8,3524,6,63,0-3;1-5;2-4,6,1008,6,3,4032,0-3;1-5;2-4,0,-3
KEn{A?_C?O?_,12,16,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-5;2-4,6,2016,6,3,4032,0-3;1-5;2-4,0,-3
KErcA?_C?O?_,12,13,4,1,0,0,6,63,6,63,6,504,6,63,8,33,1920,6,63,0-3;1-4;2-5,6,504,6,3,4032,0-3;1-4;2-5,0,-3
KErsA?_C?O?_,12,14,5,1,0,0,6,63,6,63,6,1008,6,63,8,32,2000,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KEr{A?_C?O?_,12,15,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KEu{A?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1890,6,63,8,8,3524,6,63,0-3;1-4;2-5,6,1890,6,3,4032,0-3;1-4;2-5,0,-3
KEvsA?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1008,6,63,8,8,3524,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KEv{A?_C?O?_,12,16,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
KEzSA?_C?O?_,12,14,4,1,0,0,6,63,6,63,6,1008,6,63,8,12,3264,6,63,0-3;1-5;2-4,6,1008,6,3,4032,0-3;1-5;2-4,0,-3
KEzcA?_C?O?_,12,14,4,1,0,0,6,63,6,63,6,504,6,63,8,12,3264,6,63,0-3;1-4;2-5,6,504,6,3,4032,0-3;1-4;2-5,0,-3
KEzkA?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1512,6,63,8,12,3264,6,63,0-3;1-4;2-5,6,1512,6,3,4032,0-3;1-4;2-5,0,-3
KEzsA?_C?O?_,12,15,5,1,0,0,6,63,6,63,6,1008,6,63,8,12,3264,6,63,0-3;1-4;2-5,6,1008,6,3,4032,0-3;1-4;2-5,0,-3
KEz{A?_C?O?_,12,16,6,1,0,0,6,63,6,63,6,2016,6,63,7,32,1984,6,63,0-3;1-4;2-5,6,2016,6,3,4032,0-3;1-4;2-5,0,-3
